TradingName,Date
"DA, NA, JM PARKHOUSE & AR OATEY",2018-01-02
N J & L GOLDSWORTHY,2018-01-02
D & B & A FRY,2018-01-02
T SMITH & SONS LTD,2018-01-02
MR J J G HILL,2018-01-02
R J ROSE & SON LTD,2018-01-02
A J Horsington & Son,2018-01-02
T/A: DR & VA Lawrence,2018-01-03
J C W ROGERS,2018-01-03
J W & J Holland,2018-01-03
T A Wainwright & Son,2018-01-03
HAYDON FARM PARTNERSHIP,2018-01-03
C H & P C CORBETT LTD,2018-01-03
W B MANLEY & SON,2018-01-03
T P & J H ISAAC,2018-01-03
C H FURSE & SON,2018-01-03
South West Graham,2018-01-03
F H COOKSON & SONS,2018-01-03
M W BROWN,2018-01-04
M N SHERE,2018-01-04
Dallyn's Dairy Ltd,2018-01-04
PHR FARMS,2018-01-04
PHR FARMS,2018-01-04
O PILKINGTON & SONS,2018-01-04
S G LEE & SONS,2018-01-04
COSTON HALL FARMS LTD,2018-01-04
MR & MRS W WALES,2018-01-04
M R MOSLEY,2018-01-04
T & S Farms,2018-01-04
GREYS MILKING SHEEP CO.,2018-01-04
R J & J MATKIN,2018-01-04
W R BELLINGHAM & SON,2018-01-05
O G NEAGLE,2018-01-05
A E ROSS & SON,2018-01-05
J F TEMPLE & SON LTD,2018-01-05
Jon Appleby and Joy Appleby,2018-01-05
MESSRS D HEATH & SON,2018-01-05
WEST FARMS,2018-01-05
A H BROWN (HAYLING ISLAND) LTD,2018-01-05
JETHAWK,2018-01-05
G W NEVILLE,2018-01-05
G J CARTER,2018-01-05
C THOMAS & SON,2018-01-05
Willis Dairy Farmers Ltd,2018-01-08
S S & J C DAVIES,2018-01-08
J MARROW,2018-01-08
P M & J T WILSON,2018-01-08
J H DORRINGTON & SON (DUNSBY) LTD,2018-01-08
A E ALLEN & SON,2018-01-08
Bubney Farms Ltd,2018-01-08
A R & E R JONES,2018-01-08
DAVIES BROS,2018-01-08
BARBER FARMS,2018-01-08
I NEWTON & SON,2018-01-09
Lewis Farming,2018-01-09
T/A: High Ash Farm,2018-01-09
W & J NEWHOUSE,2018-01-09
"G J, P J & S GORNALL",2018-01-09
RH & JS VICKERY,2018-01-09
J R DINSDALE & SONS,2018-01-09
N W & S E Legg & Sons,2018-01-09
D G FRANKPITT,2018-01-09
R J & K J COLE,2018-01-09
C J & N L Bright & Sons,2018-01-10
P W & S J Slade,2018-01-10
MRS E M & MR J T HUNTBACH,2018-01-10
"AA Parsons, AE Parsons &  AA Parsons",2018-01-10
BRADLEY FARM PARTNERSHIP,2018-01-10
G H & S A PARSONS Ltd,2018-01-10
MESSRS E J HODGSON & SON,2018-01-10
C GIBSON & SON,2018-01-10
MR R CORNFORTH,2018-01-10
M/S G ARMSTRONG & SON,2018-01-10
P C M & N M PUGH,2018-01-10
M C EVANS & SON,2018-01-10
P C Gwilt,2018-01-10
P C Gwilt,2018-01-10
C H & E S LUNT & SON,2018-01-10
N L Ford & Son,2018-01-10
E D Goff,2018-01-10
The Goodwood Estate Company Ltd,2018-01-10
W E Gordon & Sons,2018-01-10
W F SCOTT & SON,2018-01-10
P H Bourne & Partners,2018-01-10
D & P THOMPSON,2018-01-10
Dreamers Farm,2018-01-11
T/A: Mays Farm Ringmer,2018-01-11
T/A: Martyn Eastham and Claire Chippindale,2018-01-11
T/A: Martyn Eastham and Claire Chippindale,2018-01-11
M C Clothier Partnership,2018-01-11
M C Clothier Partnership,2018-01-11
H W OULTRAM & CO,2018-01-11
T I M & J N Frazer,2018-01-11
I P Richards,2018-01-11
E & M JONES & SONS,2018-01-11
ASTRIDGE FARM LTD,2018-01-11
P C Gwilt,2018-01-11
Richards & Co.,2018-01-11
E T James & Co,2018-01-11
D J & R L Thomas,2018-01-11
M E & I E VANSTONE & SONS,2018-01-11
D C BARTLETT,2018-01-11
R E BUGLER & PARTNERS,2018-01-12
MESSRS D J HARRISON,2018-01-12
A F W & I CARR,2018-01-12
MESSRS P & A JARMAN,2018-01-12
A J & M E MINSHALL LTD,2018-01-12
D S HARRISON,2018-01-12
W P GANGE & SON,2018-01-12
Fen Farm Dairy Limited,2018-01-12
MR T W BUSBY & SON,2018-01-12
E S Triggol Ltd,2018-01-12
T/A: The Calf at Foot Dairy,2018-01-12
Townhead Farming Ltd,2018-01-15
M/S R PUDDY & SON,2018-01-15
J W Jones & Sons,2018-01-15
P S & G M GIBSON,2018-01-15
T/A: D W Burne & Son,2018-01-15
D A & E M CLEASBY,2018-01-15
S G Habberfield & Sons,2018-01-15
Lydney Park Farms,2018-01-16
J & S HARTLEY,2018-01-16
J & C G REDMAYNE,2018-01-16
P M & J T WILSON,2018-01-16
L J BROOM & SON,2018-01-16
R H TRIVETT & SON,2018-01-16
J S MADDERS & SONS,2018-01-16
T & J JAMES,2018-01-16
A W & J BRANDRETH & SON,2018-01-16
"R, P & S MAIN",2018-01-16
F M & B GRIFFITHS,2018-01-16
P & M V & P W LLOYD,2018-01-16
MRS G LL EVANS & SONS,2018-01-16
M/s E W Hartt & Sons,2018-01-17
M E LLOYD,2018-01-17
CRAFT & SON,2018-01-17
R SUMMERSON,2018-01-17
MESSRS R J BROWN & SON,2018-01-17
ALCOCK BROS,2018-01-17
J & S Y KENYON & SONS,2018-01-17
COSTON HALL FARMS LTD,2018-01-17
W B MANLEY & SON,2018-01-17
C H & P C CORBETT LTD,2018-01-17
Cooke Partnership,2018-01-17
M & M TATTERSALL,2018-01-17
E E THORNTON & SONS,2018-01-17
T & J M FAWCETT,2018-01-17
"K, S D & J A WARD",2018-01-17
MOSLEY HALL FARMING,2018-01-17
T JOPSON & SON,2018-01-17
T/A: T M Woodcock and Partners,2018-01-17
R J & K J COLE,2018-01-18
W J ELSTON & SON,2018-01-18
M/S G F & D V BUSSELL,2018-01-18
T/A: Alex Wilson-North and Claire Wilson-North,2018-01-18
M W; D M; DJ & L J Grigg,2018-01-18
T/A: D & L Rawsthorn Farm,2018-01-19
T/A: Old Hall Farm,2018-01-19
O G NEAGLE,2018-01-19
Messrs J J & A D Turner & Sons,2018-01-19
T/A: A B Holliday,2018-01-19
H LOMAS & SON,2018-01-19
R C EAMES & SON,2018-01-19
J KEMPTHORNE & SONS,2018-01-19
MR P A & MRS J K DYMOND,2018-01-19
T/A: Parker's Agriculture,2018-01-19
J E ALSTON (UPHALL),2018-01-19
F & J GREGORY,2018-01-19
G C & R E DUROSE,2018-01-19
P G T HOOK & SON,2018-01-22
Mr G V Wellings,2018-01-22
M E LLOYD,2018-01-22
R & R A JONES,2018-01-22
D M & B A HUGHES,2018-01-22
D C  BIBBEY & SONS,2018-01-22
C Window,2018-01-22
R J & C H Lloyd,2018-01-22
CLOVERLAIT LTD,2018-01-23
D G & G N Watts,2018-01-23
T/A: Laneside Farm Partnership,2018-01-23
M G Whitwell Ltd,2018-01-23
Cloverlait Limited,2018-01-23
Cloverlait Limited,2018-01-23
T/A: H S Bourne,2018-01-23
W E HOSKEN,2018-01-23
W & J NEWHOUSE,2018-01-23
MR R D WILLIAMS,2018-01-23
MRS B THOMAS & SON,2018-01-23
H Route & Sons,2018-01-23
MR T G ELLIS,2018-01-23
MESSRS F W MADDERS & SON,2018-01-23
MESSRS A G BONSALL & SON,2018-01-23
D & S Williams & Sons,2018-01-23
D & S Williams & Sons,2018-01-23
STOTT & STOTT,2018-01-23
PERRIDGE FARM PARTNERSHIP,2018-01-23
Platt Farms Ltd,2018-01-24
O PILKINGTON & SONS,2018-01-24
T/A STOCKDALE PARTNERS,2018-01-24
D & CA HENRY,2018-01-24
Stowford Manor Farm,2018-01-24
D T Edgerton,2018-01-24
Robert Hares,2018-01-24
D & P ALLEN,2018-01-24
B N & A J & S M A HARDING,2018-01-24
A J WILLIAMS & SONS,2018-01-24
S J Palmer,2018-01-24
M/s E W Hartt & Sons,2018-01-24
B H & E J Bevan,2018-01-24
H R Warlow & Sons,2018-01-24
Mrs E J Griffiths & J C Lewis,2018-01-24
J H & S M Farmer,2018-01-24
H J MORGAN & SON,2018-01-24
R WAIN & SONS LTD,2018-01-24
C & S FITTON & SON,2018-01-24
"J, R A & P R STORER",2018-01-24
P J TIPPING & CO,2018-01-24
E & S M HALPIN,2018-01-24
MR C E VEYSEY,2018-01-24
Hedden & Sons,2018-01-24
Mr G M Hookway,2018-01-24
B H & A E Worth,2018-01-24
P W & S J Slade,2018-01-24
C & S G DIBBLE LTD,2018-01-24
C J & N L Bright & Sons,2018-01-24
Cooke Partnership,2018-01-24
T/A: R & R Knowles,2018-01-24
Ahimsa Dairy Foundation,2018-01-24
W HODGSON & PARTNERS LTD,2018-01-24
H FEARON JNR,2018-01-24
EDDON BROS,2018-01-24
A J Horsington & Son,2018-01-25
A W POMEROY & SON,2018-01-25
Norton Farm Ltd,2018-01-25
A BURNFIELD & SONS LTD,2018-01-25
A BURNFIELD & SONS LTD,2018-01-25
R W DAVEY,2018-01-25
T D PRINCE,2018-01-25
T/A  I & G E GREGSON,2018-01-26
Fen Farm Dairy Limited,2018-01-26
M J & M R POYNTON,2018-01-26
"W J, A M & D T A Davies",2018-01-26
J A Thomas,2018-01-26
W R L & F FLETCHER,2018-01-26
R W DAVEY,2018-01-26
R G Denning & Son,2018-01-26
E B & M E SYMONS,2018-01-26
N J & L GOLDSWORTHY,2018-01-26
P J TIPPING & CO,2018-01-26
W T & P FEARN,2018-01-26
K I & MRS E L MATKIN,2018-01-26
M/S L & C M HARRISON & SON,2018-01-26
T J GRINDLEY & SON,2018-01-26
Beaconhill Farm,2018-01-26
G T Allin & Sons,2018-01-26
K A POOLE & SON,2018-01-26
RM & MW Squire,2018-01-26
KR & KA Hoare,2018-01-26
T/A: J R Frayne,2018-01-26
R & W Beattie Limited,2018-01-26
W R BELLINGHAM & SON,2018-01-26
Goats R Us,2018-01-29
J R Hockenhull & Sons,2018-01-29
J W Jones & Sons,2018-01-29
J W & J Holland,2018-01-29
E D Goff,2018-01-29
M/S D B & H MILES,2018-01-30
M/S S N ELLIS & SON,2018-01-30
M/S E L NORRIS & SON,2018-01-30
MESSRS H BRANDON & SONS,2018-01-30
MR E & MRS W M MASSEY& SON,2018-01-30
S & A J Cork,2018-01-30
N D & P M AXFORD T/A,2018-01-30
Knapman Farms,2018-01-30
JP NEWELL AND SON,2018-01-30
R W DAVEY,2018-01-30
T/A: P H & D A Winter,2018-01-30
Leeson Farming Partnership,2018-01-30
T/A: Fletcher & Co,2018-01-31
Probin Farms Limited,2018-01-31
Willis Dairy Farmers Ltd,2018-01-31
S S & J C DAVIES,2018-01-31
E C TUTT & SONS,2018-01-31
D & J SOUTHERNWOOD,2018-01-31
HUTTON BROTHERS,2018-01-31
J H & S M Farmer,2018-01-31
J F & L V CORFIELD,2018-01-31
H J MORGAN & SON,2018-01-31
Backhouse Partners Limited,2018-01-31
W & R ARNEY,2018-01-31
F H EVERETT AND SON,2018-01-31
MESSRS D HEATH & SON,2018-01-31
T/A: D A Howie & Sons,2018-01-31
MESSRS M L & J M RICHARDSON & SONS,2018-01-31
GARNER & WADE,2018-02-01
D S HARRISON,2018-02-01
T/A:  J A Haigh & Sons,2018-02-01
T E & J M BAYLY & SONS,2018-02-01
E S Burroughs and Sons,2018-02-01
T/A: Longwood Farm,2018-02-01
T/A: P M & U J Deighton,2018-02-02
G W & M A PLATT & SON,2018-02-02
J A & D KIRKBY,2018-02-02
F H ROBINSON & SON,2018-02-02
DP & SJ BERRY,2018-02-02
T/A: JH & PJ Turner,2018-02-05
E W GILL AND SONS LIMITED,2018-02-05
Mr G V Wellings,2018-02-05
T A Wainwright & Son,2018-02-05
David Cholmondeley,2018-02-05
Emma's Dairy,2018-02-05
C W POTTER AND SON,2018-02-06
T CRAWFORD & CO LTD,2018-02-06
Mrs E J Griffiths & J C Lewis,2018-02-06
P C M & N M PUGH,2018-02-07
M E LLOYD,2018-02-07
MR B L & MRS K M SERCOMBE,2018-02-07
MR B L & MRS K M SERCOMBE,2018-02-07
J W & D M CAMPBELL,2018-02-07
T & J M FAWCETT,2018-02-07
MRS B M BAKER & SON,2018-02-07
A P LOWERY,2018-02-07
MESSRS BARKER,2018-02-07
D A & E M CLEASBY,2018-02-07
MESSRS WOOD & SONS,2018-02-07
W BECK & SON,2018-02-07
T/A: TE & SE Vaughan,2018-02-07
Leeson Farming Partnership,2018-02-07
T/A: Bonsalls Mercaston,2018-02-07
J E & A C Hughes CYF,2018-02-07
T/A: Wastenage Farms Limited,2018-02-07
E S Burroughs and Sons,2018-02-08
T/A: RP Granville & K J Granville,2018-02-08
JAS Agricultural (UK) Limited,2018-02-08
E.C.TUTT&SONS,2018-02-08
E & S M HALPIN,2018-02-08
T JOPSON & SON,2018-02-08
MR C E VEYSEY,2018-02-08
MR H RAW,2018-02-08
TR & EC BALL,2018-02-09
W & R E A SESSIONS,2018-02-09
T/A: J E & E M MARSHALL,2018-02-09
C THOMAS & SON,2018-02-09
T/A: Longwood Farm,2018-02-09
Christine Page,2018-02-12
S R Vickery Limited,2018-02-12
W Condell & Co.,2018-02-12
MR R D WILLIAMS,2018-02-13
MRS B THOMAS & SON,2018-02-13
J C LEES,2018-02-13
MESSRS F & E M BUXTON & PARTNERS,2018-02-13
A C MYCOCK,2018-02-13
H & E M HUNTER & SON,2018-02-13
MR A W & MRS J KING,2018-02-13
T/A: High Ash Farm,2018-02-13
MRS M ENTWISTLE & SONS,2018-02-13
M A & E J Bennett Ltd,2018-02-14
A J & G M CLIFF,2018-02-14
M E & K H Emmott,2018-02-14
M G Whitwell Ltd,2018-02-14
T/A: Laneside Farm Partnership,2018-02-14
Townhead Farming Ltd,2018-02-14
T A BLACKMORE & SON,2018-02-14
P S & G M GIBSON,2018-02-14
P S & G M GIBSON,2018-02-14
MESSRS PRESTON,2018-02-14
MRS K M & MR J A ADAMS,2018-02-14
R J & D HOLDEN,2018-02-14
D M & B A HUGHES,2018-02-14
NORTHWOOD FARMS LTD,2018-02-14
TA: Pidcock & Matkin,2018-02-14
A J WILLIAMS & SONS,2018-02-14
S M Gilman & Partners,2018-02-14
D & P ALLEN,2018-02-14
J Williams & Son,2018-02-14
Penronw Farms,2018-02-14
D E & M A BOOTH,2018-02-14
W & J NEWHOUSE,2018-02-14
N & J HELLOWELL,2018-02-14
Messrs Robinson,2018-02-14
C H & E S LUNT & SON,2018-02-14
J McKELLAR / DROINTON FARMS,2018-02-15
HOLLYPARK ORGANICS,2018-02-15
Fen Farm Dairy Limited,2018-02-15
J G & S J TANCOCK,2018-02-15
M W & D M & W M JENKIN,2018-02-15
W J GREGG,2018-02-15
"K, S D & J A WARD",2018-02-15
DP & SJ BERRY,2018-02-15
T/A: Westcott Dairy,2018-02-15
BARBER FARMS,2018-02-15
J C & S K Williams,2018-02-15
WALLIS FARMS LTD,2018-02-16
D W Meadmore & Son,2018-02-16
MESSRS S AND P MC ILVEEN AND SON,2018-02-16
ROSTON PARTNERS,2018-02-16
C F HALL,2018-02-16
REEVES FARMS LTD,2018-02-16
T/A: J E & E M MARSHALL,2018-02-16
D J FOSTER,2018-02-16
J H &  V J   TAYLOR,2018-02-16
PARK HOUSE FARMING CO LTD,2018-02-16
T I M & J N Frazer,2018-02-16
I P Richards,2018-02-16
ASTRIDGE FARM LTD,2018-02-16
T J & B E JAMES,2018-02-16
L A & S M LLOYD,2018-02-19
P J & F P Bridge,2018-02-19
AE & E Garnett Ltd,2018-02-19
BOYDELLS DAIRY FARM,2018-02-19
E R E & J Down,2018-02-19
M C & L M Pincombe Ltd,2018-02-20
D G & G N Watts,2018-02-20
"R J, G M & A J Tucker",2018-02-20
M G & J Heal,2018-02-20
NATUREMADE,2018-02-20
M H W Powell & Son,2018-02-20
J A Phillips & Son,2018-02-20
D C BENBOW,2018-02-20
T G & N DAVIES,2018-02-20
D L & G L LIGHTFOOT,2018-02-20
T W & M JONES,2018-02-21
G EMSLEY,2018-02-21
CRAFT & SON,2018-02-21
MESSRS C SMITH & SONS,2018-02-21
R G & D N PRITCHARD,2018-02-21
E OWEN A'I FEIBION,2018-02-21
K J & M E Pinches,2018-02-21
D I Jones,2018-02-21
W Plowden Farms,2018-02-21
MR R H & MRS F P HARVEY,2018-02-21
T ER & VJ BOLTON,2018-02-21
J L & K M STEPHENSON & SON,2018-02-21
R JACKSON & SONS,2018-02-21
J E WALTON & SONS,2018-02-21
MASON G R & B & SON,2018-02-21
F & M COAR & SON,2018-02-21
MESSRS WOOD & SONS,2018-02-21
MESSRS WILLIAMSON,2018-02-21
J M & A M WEAR,2018-02-21
MESSRS BARKER,2018-02-21
MESSRS M ARMSTRONG,2018-02-21
G W & M A PLATT & SON,2018-02-21
MR P A JONES,2018-02-21
P & A Wakeham,2018-02-21
J L Wotton,2018-02-21
S J & H M Freeth,2018-02-21
T/A: R Pryor and Son,2018-02-22
Trink Dairy Limited,2018-02-22
T G GWENNAP & SON,2018-02-22
MR P A & MRS J K DYMOND,2018-02-22
MR A W & MRS J KING,2018-02-22
Glabe Farm (Hollacombe) Ltd,2018-02-22
DOUGLAS PARTNERS,2018-02-22
T E BARKER & SONS,2018-02-22
M/S AR & C BOOTH,2018-02-22
T/A: J & B RICHARDS,2018-02-22
Joseph D Evans,2018-02-22
CHURCH FARM DAIRIES LTD,2018-02-23
T G & G M Morgan,2018-02-23
I F Hay,2018-02-23
M/s P F J & S M Lewis & Son,2018-02-23
K N & J WYRILL & SONS,2018-02-23
RM & MW Squire,2018-02-23
HUTTON BROTHERS,2018-02-23
Hedden & Sons,2018-02-23
M/S G F & D V BUSSELL,2018-02-23
K A POOLE & SON,2018-02-23
M/S W B BOWDEN & SONS,2018-02-23
T/A: TE & SE Vaughan,2018-02-23
MESSRS J G GARDHOUSE,2018-02-23
MESSRS D T & G YOUNG,2018-02-23
M/S L & C M HARRISON & SON,2018-02-23
R J Cookson,2018-02-23
David Cholmondeley,2018-02-26
T/A:L E Weston & Sons,2018-02-26
Tavenor Farming Limited,2018-02-26
T/A: DG & DH Jones,2018-02-26
D R JONES & PARTNERS,2018-02-26
R E SNOWDON & SON,2018-02-26
T D GOODALL,2018-02-26
"K R, S B & M R Lowry",2018-02-26
J R Edwards & H R Mason,2018-02-26
S R MACHIN (CLOY HALL) LTD,2018-02-26
T H & K JONES & SONS,2018-02-26
J A Phillips & Son,2018-02-26
T A & E Smith,2018-02-27
P J IKIN,2018-02-27
T SMITH & SONS LTD,2018-02-27
N H SEMMENS & SON LTD,2018-02-27
T J & C M DAUNCEY,2018-02-27
F H & P J Bailey,2018-02-27
G & E Bristol,2018-02-27
T/A: MEG & EM Bennett & Sons,2018-02-27
LEICESTERSHIRE HANDMADE CHEESE CO,2018-02-27
J PEEL,2018-02-28
Maes Gwyrdd Limited,2018-02-28
M & C Davies Ltd,2018-02-28
C & S G DIBBLE LTD,2018-02-28
S E J TAPP & SONS,2018-02-28
Probin Farms Limited,2018-02-28
Probin Farms Limited,2018-02-28
A Sims Limited,2018-02-28
F YATES,2018-02-28
P N & D B Johnson & Son,2018-02-28
M J & M R POYNTON,2018-02-28
D W H & J M James,2018-02-28
D G & Mrs I E & P L Devonald,2018-02-28
P J & A H Jones,2018-03-01
S P & S R Davies,2018-03-01
D N & B Evans & Sons,2018-03-01
MR H & MRS E DEAKIN,2018-03-01
W O Slatter & Son,2018-03-01
G H H A J & F G SIMCOCK,2018-03-01
S & A and Daughters Ltd,2018-03-01
R & J Merrett,2018-03-01
M R & K M Pring,2018-03-02
K B & A C TERRY,2018-03-05
T/A: J S Johnston Partnership,2018-03-05
D C Green & Son,2018-03-05
W J D & Mrs E M & W R Jones,2018-03-05
G R M SMITH,2018-03-05
MESSRS WALSH,2018-03-05
R E SNOWDON & SON,2018-03-06
CAMPHILL VILLAGE TRUST,2018-03-06
A R &R A ROWLAND,2018-03-06
T G & N DAVIES,2018-03-06
TOMPKINS & SONS,2018-03-06
CHATCULL FARMS LTD,2018-03-06
F H COOKSON & SONS,2018-03-06
D V & D A CLIFFE & SONS,2018-03-07
F R & V A SIMS,2018-03-07
MESSRS PRESTON,2018-03-07
MESSRS E J HODGSON & SON,2018-03-07
D & CA HENRY,2018-03-07
B N & A J & S M A HARDING,2018-03-07
R SUMMERSON,2018-03-07
T S & C I JERMAN,2018-03-07
W HODGSON & PARTNERS LTD,2018-03-07
W E Morgan & Son,2018-03-07
D L Wilde & partners,2018-03-07
Cloverlait Limited,2018-03-07
Cloverlait Limited,2018-03-08
T/A: Longwood Farm,2018-03-08
B N & A J & S M A HARDING,2018-03-08
A E ALLEN & SON,2018-03-08
T SMITH & SONS LTD,2018-03-08
P & R E Kimber,2018-03-08
MR R C HOLLINSHEAD,2018-03-08
T/A JH Hewson & Son,2018-03-08
"J B, M, M A & M J WILLIAMS",2018-03-09
JP NEWELL AND SON,2018-03-09
LEE VALLEY REGIONAL PARK AUTHORITY,2018-03-09
MESSRS HUGHES,2018-03-09
P J GRIFFITHS & SON,2018-03-09
F H EVERETT AND SON,2018-03-09
W L KITCHING,2018-03-09
F ABBEY & SON,2018-03-09
E H ARDEN & SON,2018-03-09
A & T James,2018-03-09
ISKCON GOSHALLA LTD,2018-03-09
MR G L VOLK,2018-03-12
Mr E G & Mrs A Jones & Son,2018-03-12
"Mr D G, Mrs J A & R Griffiths",2018-03-12
MR H RAW,2018-03-13
G V P Thomas & Son,2018-03-13
E & D E ALLCOCK & SON,2018-03-13
W BECK & SON,2018-03-13
MESSRS WOOD & SONS,2018-03-13
Jenkins & Rees,2018-03-13
J E & A C Hughes CYF,2018-03-14
H. Attwell Ltd,2018-03-14
C W R & S A MARRIOTT,2018-03-14
WRIGHT BROS,2018-03-14
T/A: J & M & E A Taylor,2018-03-14
G V SPARKES AND SONS,2018-03-14
G & L BELFIELD & SON,2018-03-14
M B JONES & PARTNERS,2018-03-14
B J STAINER & SONS,2018-03-14
M/S A F & A H POWELL,2018-03-14
DAWSON BROS,2018-03-14
MR G L VOLK,2018-03-14
T J & Mrs M Lloyd,2018-03-14
M/s E W Hartt & Sons,2018-03-14
D L Wilde & partners,2018-03-14
W & J NEWHOUSE,2018-03-14
G A G EVANS & SON,2018-03-14
R G & D N PRITCHARD,2018-03-14
MR R D WILLIAMS,2018-03-14
J S MADDERS & SONS,2018-03-15
A C MYCOCK,2018-03-15
Platt Farms Ltd,2018-03-15
C L G Wadman & J Wadman & Sons,2018-03-15
C L G Wadman & J Wadman & Sons,2018-03-15
D C BARTLETT,2018-03-15
"R J, G M & A J Tucker",2018-03-15
F S STURROCK & SONS,2018-03-15
T/A: S E Alderman,2018-03-15
M E & K H Emmott,2018-03-15
T M & J M BOWES,2018-03-16
D G & G N Watts,2018-03-16
Mark Delbridge and Isobelle Delbridge,2018-03-16
G D & M RODGERS & SONS,2018-03-16
MR W B COOK,2018-03-16
N D & P M AXFORD T/A,2018-03-16
T S MATTHEWS & SON,2018-03-16
T S MATHEWS AND SON,2018-03-16
MESSRS A G BONSALL & SON,2018-03-16
F & J GREGORY,2018-03-16
"Mr D G, Mrs J A & R Griffiths",2018-03-16
D T & E G EVANS,2018-03-19
D R B Davies & Co.,2018-03-19
I O & C A Richards,2018-03-19
C R WILDBORE & SONS,2018-03-19
J A Phillips & Son,2018-03-19
J E & A C Hughes CYF,2018-03-19
Dreamers Farm,2018-03-20
G & E Bristol,2018-03-20
H E BARTLEY & CO,2018-03-20
T H & K JONES & SONS,2018-03-20
F M & B GRIFFITHS,2018-03-20
